display_id,loan_id,customer_id,loan_type,loan_amount,interest_rate,start_date,end_date,loan_status,loan_duration_months,risk_category,outlier_flag
321,321,1292,Home,750331.65,11.87,2010-02-02,2023-02-02,Active,156,High,0
322,322,3875,Education,59508.99,9.37,2019-10-12,2031-10-12,Default,144,Low,0
323,323,1924,Education,267749.53,6.50,2013-06-10,2016-06-10,Closed,36,Medium,0
324,324,132,Home,1098684.16,6.46,2023-11-22,2026-11-22,Default,36,High,0
325,325,4792,Personal,175886.74,10.01,2019-08-14,2039-08-14,Default,240,Medium,0
326,326,366,Home,2380261.57,7.99,2018-12-26,2023-12-26,Active,60,High,0
327,327,488,Personal,4063590.44,11.04,2024-04-10,2039-04-10,Active,180,High,0
328,328,1471,Car,1138742.87,10.99,2013-10-23,2016-10-23,Closed,36,High,0
329,329,3994,Education,1251837.48,9.09,2022-04-11,2023-04-11,Closed,12,High,0
330,330,352,Personal,4414842.43,7.45,2024-09-16,2037-09-16,Default,156,High,0
331,331,3996,Education,3585236.78,6.11,2024-04-24,2031-04-24,Closed,84,High,0
332,332,1259,Home,2121889.72,6.73,2018-07-19,2029-07-19,Closed,132,High,0
333,333,567,Personal,1087042.51,7.59,2019-06-30,2038-06-30,Default,228,High,0
334,334,3701,Education,4503322.74,13.01,2017-12-24,2018-12-24,Active,12,High,0
335,335,906,Personal,3380395.38,12.93,2022-04-02,2030-04-02,Closed,96,High,0
336,336,1700,Personal,3828136.15,9.48,2011-08-04,2029-08-04,Closed,216,High,0
337,337,3999,Personal,1977914.28,6.82,2022-12-17,2032-12-17,Default,120,High,0
338,338,2654,Home,2639605.44,10.18,2024-10-01,2032-10-01,Closed,96,High,0
339,339,3112,Car,347439.61,12.29,2023-08-04,2032-08-04,Closed,108,Medium,0
340,340,4194,Personal,273476.89,9.22,2024-10-30,2033-10-30,Default,108,Medium,0
341,341,4228,Home,1379022.43,6.80,2023-10-02,2041-10-02,Closed,216,High,0
342,342,3945,Personal,2408929.85,11.52,2016-03-14,2028-03-14,Default,144,High,0
343,343,4654,Home,3138644.31,9.19,2018-11-21,2032-11-21,Default,168,High,0
344,344,4738,Home,3579251.91,11.46,2017-12-18,2021-12-18,Default,48,High,0
345,345,4791,Personal,4564701.97,7.27,2020-08-13,2029-08-13,Default,108,High,0
346,346,2924,Home,4185720.20,9.78,2022-12-18,2028-12-18,Closed,72,High,0
347,347,4807,Car,1688036.28,11.62,2022-11-29,2028-11-29,Default,72,High,0
348,348,2700,Car,1544297.92,8.79,2024-08-18,2030-08-18,Default,72,High,0
349,349,3585,Home,4541909.61,8.00,2022-01-02,2038-01-02,Default,192,High,0
350,350,1447,Education,1887271.31,11.61,2010-05-19,2014-05-19,Closed,48,High,0
351,351,2452,Car,752236.28,13.74,2019-05-17,2034-05-17,Default,180,High,0
352,352,650,Education,2051822.50,9.26,2019-08-21,2021-08-21,Closed,24,High,0
353,353,4820,Education,2312766.74,12.08,2021-08-02,2038-08-02,Closed,204,High,0
354,354,60,Car,864296.99,8.92,2022-07-27,2031-07-27,Active,108,High,0
355,355,4404,Education,344048.89,8.08,2022-03-10,2032-03-10,Active,120,Medium,0
356,356,3735,Education,2870268.05,7.69,2021-12-26,2030-12-26,Closed,108,High,0
357,357,434,Education,4784220.27,9.79,2021-11-18,2023-11-18,Active,24,High,0
358,358,4491,Home,1424611.83,5.16,2014-03-01,2030-03-01,Active,192,High,0
359,359,2097,Car,522469.46,10.13,2024-01-20,2032-01-20,Active,96,High,0
360,360,4080,Home,2730229.04,7.35,2022-08-31,2042-08-31,Closed,240,High,0
361,361,3577,Home,1161384.26,6.02,2023-01-28,2029-01-28,Default,72,High,0
362,362,1922,Car,4488909.23,9.68,2018-11-02,2033-11-02,Closed,180,High,0
363,363,216,Home,3690868.27,10.04,2015-12-10,2021-12-10,Closed,72,High,0
364,364,2932,Home,664495.22,13.56,2023-11-20,2036-11-20,Default,156,High,0
365,365,2993,Car,64612.16,13.87,2016-07-20,2031-07-20,Default,180,Low,0
366,366,4697,Education,348464.81,11.28,2023-12-17,2033-12-17,Closed,120,Medium,0
367,367,3202,Car,3419890.97,7.05,2023-09-17,2039-09-17,Default,192,High,0
368,368,1522,Personal,3909522.99,10.84,2017-12-20,2019-12-20,Default,24,High,0
369,369,4544,Personal,3752134.52,9.68,2018-04-07,2023-04-07,Default,60,High,0
370,370,4666,Home,3666685.33,6.86,2019-03-11,2028-03-11,Closed,108,High,0
371,371,26,Car,3919668.63,12.96,2010-08-15,2029-08-15,Closed,228,High,0
372,372,3107,Personal,2033220.56,8.73,2013-06-09,2015-06-09,Default,24,High,0
373,373,1307,Education,2117268.38,5.48,2010-11-29,2030-11-29,Closed,240,High,0
374,374,1815,Home,2366262.51,10.10,2023-12-11,2026-12-11,Closed,36,High,0
375,375,227,Personal,73812.24,12.19,2020-11-06,2029-11-06,Active,108,Low,0
376,376,4392,Education,4220499.33,7.91,2024-12-26,2031-12-26,Closed,84,High,0
377,377,1274,Education,757440.65,8.37,2024-03-30,2039-03-30,Default,180,High,0
378,378,4106,Education,4440747.57,8.84,2023-12-14,2035-12-14,Closed,144,High,0
379,379,1507,Education,1776883.04,13.46,2020-01-25,2037-01-25,Default,204,High,0
380,380,3976,Personal,1481882.17,6.74,2015-11-11,2031-11-11,Closed,192,High,0
381,381,773,Personal,2811098.21,10.37,2024-12-04,2027-12-04,Closed,36,High,0
382,382,3846,Car,1569513.00,11.16,2023-05-18,2039-05-18,Closed,192,High,0
383,383,361,Car,3474039.70,7.46,2021-02-13,2033-02-13,Active,144,High,0
384,384,4255,Home,4135126.18,12.09,2016-07-01,2026-07-01,Default,120,High,0
385,385,2074,Car,1566165.40,5.82,2013-08-07,2019-08-07,Active,72,High,0
386,386,1698,Car,1139228.77,12.69,2020-11-09,2035-11-09,Default,180,High,0
387,387,1462,Home,4541320.77,10.71,2020-01-25,2038-01-25,Closed,216,High,0
388,388,3774,Personal,3195000.20,12.00,2016-10-14,2036-10-14,Closed,240,High,0
389,389,472,Personal,4868641.83,9.53,2022-09-22,2041-09-22,Closed,228,High,0
390,390,1107,Personal,2911402.57,9.04,2020-02-14,2034-02-14,Closed,168,High,0
391,391,88,Education,104920.45,8.03,2014-08-08,2024-08-08,Default,120,Medium,0
392,392,4881,Home,682005.22,11.26,2020-05-09,2024-05-09,Default,48,High,0
393,393,2481,Car,1609109.87,11.27,2022-12-01,2037-12-01,Closed,180,High,0
394,394,3376,Home,3127626.35,8.21,2016-07-23,2022-07-23,Default,72,High,0
395,395,986,Car,2649355.30,8.12,2009-11-25,2025-11-25,Closed,192,High,0
396,396,3740,Personal,3702961.11,9.25,2023-07-10,2032-07-10,Active,108,High,0
397,397,1631,Personal,3919794.60,12.02,2012-12-25,2023-12-25,Active,132,High,0
398,398,4078,Car,2697423.39,10.49,2016-09-09,2030-09-09,Default,168,High,0
399,399,1970,Home,588982.35,7.35,2021-09-07,2023-09-07,Default,24,High,0
400,400,2474,Education,3256801.47,13.06,2023-12-12,2035-12-12,Default,144,High,0
401,401,4295,Car,3597529.51,12.52,2008-07-20,2022-07-20,Active,168,High,0
402,402,3831,Car,806398.28,10.71,2024-10-24,2039-10-24,Active,180,High,0
403,403,256,Personal,2347972.11,5.03,2011-06-15,2029-06-15,Active,216,High,0
404,404,3998,Education,729724.64,6.95,2022-07-16,2035-07-16,Closed,156,High,0
405,405,3957,Personal,1737193.02,13.65,2022-12-25,2025-12-25,Active,36,High,0
406,406,2179,Car,1967330.20,12.90,2011-09-10,2031-09-10,Default,240,High,0
407,407,4218,Home,1514469.32,6.06,2012-10-10,2023-10-10,Default,132,High,0
408,408,584,Car,3476217.08,12.42,2014-02-06,2031-02-06,Closed,204,High,0
409,409,1157,Education,1306754.30,8.73,2014-11-02,2017-11-02,Default,36,High,0
410,410,1459,Education,2793324.44,5.09,2014-12-19,2021-12-19,Closed,84,High,0
411,411,4582,Car,3462714.87,9.18,2018-05-08,2038-05-08,Closed,240,High,0
412,412,1803,Personal,3293053.00,9.32,2024-04-05,2031-04-05,Closed,84,High,0
413,413,601,Personal,1263383.41,9.96,2024-03-23,2044-03-23,Closed,240,High,0
414,414,4260,Car,3772839.98,7.08,2022-05-21,2041-05-21,Default,228,High,0
415,415,2173,Car,3618318.40,12.15,2023-09-26,2036-09-26,Active,156,High,0
416,416,3304,Personal,589427.33,9.06,2024-06-16,2040-06-16,Closed,192,High,0
417,417,4719,Car,732075.20,11.12,2023-11-24,2026-11-24,Active,36,High,0
418,418,2341,Personal,3962928.80,12.30,2024-03-31,2033-03-31,Default,108,High,0
419,419,4000,Car,4943613.54,10.27,2019-04-17,2035-04-17,Active,192,High,0
420,420,4994,Car,1790104.73,11.62,2024-11-06,2043-11-06,Default,228,High,0
421,421,2975,Car,1484888.44,13.92,2024-08-23,2043-08-23,Active,228,High,0
422,422,4192,Personal,2569960.37,5.69,2021-08-15,2041-08-15,Closed,240,High,0
423,423,4750,Car,3184729.72,7.08,2024-03-10,2033-03-10,Default,108,High,0
424,424,1844,Personal,3055072.44,12.97,2016-12-29,2023-12-29,Closed,84,High,0
425,425,843,Education,3760490.47,12.45,2022-01-26,2041-01-26,Default,228,High,0
426,426,979,Personal,3272764.75,6.96,2021-05-07,2030-05-07,Active,108,High,0
427,427,498,Home,3966013.18,5.24,2014-05-18,2022-05-18,Active,96,High,0
428,428,3070,Personal,3732341.45,7.26,2021-03-27,2025-03-27,Active,48,High,0
429,429,4338,Personal,3290537.80,5.42,2010-10-13,2028-10-13,Default,216,High,0
430,430,1507,Home,4144048.41,8.15,2023-05-19,2027-05-19,Default,48,High,0
431,431,1901,Home,855010.45,13.55,2022-11-12,2040-11-12,Active,216,High,0
432,432,3469,Car,2503545.79,9.43,2012-11-13,2026-11-13,Active,168,High,0
433,433,1465,Education,3397122.86,11.13,2021-02-15,2028-02-15,Default,84,High,0
434,434,3519,Car,1849353.71,8.42,2008-03-25,2014-03-25,Active,72,High,0
435,435,2936,Education,3877901.81,13.24,2009-11-16,2013-11-16,Closed,48,High,0
436,436,4356,Home,3350968.10,10.64,2019-04-02,2028-04-02,Active,108,High,0
437,437,3522,Car,2525095.19,5.80,2021-01-18,2029-01-18,Default,96,High,0
438,438,922,Personal,965762.77,13.43,2024-05-22,2030-05-22,Default,72,High,0
439,439,45,Education,1620366.80,10.65,2020-11-07,2028-11-07,Default,96,High,0
440,440,3450,Personal,1259215.24,12.37,2013-12-23,2028-12-23,Closed,180,High,0
441,441,4903,Personal,3705622.52,8.74,2017-08-22,2024-08-22,Default,84,High,0
442,442,2294,Home,459000.15,10.53,2018-11-05,2032-11-05,Active,168,Medium,0
443,443,3449,Car,1291194.02,10.83,2023-09-25,2026-09-25,Default,36,High,0
444,444,2260,Education,4110552.04,10.45,2024-03-02,2039-03-02,Active,180,High,0
445,445,3175,Car,845578.81,9.44,2024-03-27,2042-03-27,Closed,216,High,0
446,446,1844,Car,1231368.86,7.54,2018-07-24,2037-07-24,Active,228,High,0
447,447,722,Education,2270206.94,13.37,2023-09-21,2036-09-21,Closed,156,High,0
448,448,986,Car,3226967.12,9.95,2015-04-10,2018-04-10,Default,36,High,0
449,449,4255,Personal,933323.03,9.78,2013-04-06,2021-04-06,Closed,96,High,0
450,450,2365,Car,941500.69,8.17,2011-08-19,2016-08-19,Default,60,High,0
451,451,4470,Home,1902640.09,6.63,2023-08-31,2038-08-31,Closed,180,High,0
452,452,4050,Education,3914043.09,9.74,2018-07-07,2021-07-07,Default,36,High,0
453,453,2068,Personal,730325.85,7.51,2023-01-17,2032-01-17,Active,108,High,0
454,454,696,Education,985700.73,7.35,2013-05-18,2024-05-18,Active,132,High,0
455,455,588,Car,1036123.33,11.41,2023-06-06,2041-06-06,Active,216,High,0
456,456,2262,Home,157307.81,8.02,2017-06-13,2032-06-13,Active,180,Medium,0
457,457,4003,Car,398016.52,5.30,2014-07-22,2027-07-22,Active,156,Medium,0
458,458,4817,Education,4285231.96,9.98,2010-07-30,2025-07-30,Active,180,High,0
459,459,397,Personal,2548485.54,11.13,2019-12-10,2031-12-10,Closed,144,High,0
460,460,361,Personal,986995.94,11.05,2021-09-06,2023-09-06,Closed,24,High,0
461,461,4059,Education,1036095.95,7.66,2022-12-19,2038-12-19,Default,192,High,0
462,462,2126,Personal,1036058.10,8.39,2022-12-08,2030-12-08,Active,96,High,0
463,463,345,Personal,549717.30,8.96,2022-01-12,2038-01-12,Active,192,High,0
464,464,4868,Car,1000557.42,6.93,2022-07-14,2038-07-14,Active,192,High,0
465,465,47,Personal,3183436.62,11.80,2022-12-31,2026-12-31,Default,48,High,0
466,466,3334,Home,1499180.45,5.96,2022-08-04,2030-08-04,Closed,96,High,0
467,467,2041,Education,3615138.97,12.61,2024-02-17,2036-02-17,Default,144,High,0
468,468,1689,Car,4547928.02,10.96,2015-01-19,2023-01-19,Closed,96,High,0
469,469,3806,Home,465122.66,8.25,2024-11-12,2025-11-12,Closed,12,Medium,0
470,470,391,Car,3967442.06,8.55,2014-10-12,2018-10-12,Default,48,High,0
471,471,2413,Personal,64302.21,10.30,2022-08-23,2038-08-23,Default,192,Low,0
472,472,4327,Education,4710975.04,11.21,2022-08-09,2040-08-09,Closed,216,High,0
473,473,1258,Home,4604595.00,5.22,2024-05-22,2035-05-22,Default,132,High,0
474,474,3207,Personal,2325439.61,13.79,2019-09-29,2024-09-29,Active,60,High,0
475,475,4805,Car,634422.41,13.97,2009-05-21,2012-05-21,Closed,36,High,0
476,476,827,Personal,2907454.75,10.99,2015-08-03,2034-08-03,Default,228,High,0
477,477,575,Personal,69723.66,12.05,2018-01-08,2036-01-08,Closed,216,Low,0
478,478,3940,Home,2609372.93,10.67,2022-01-23,2025-01-23,Default,36,High,0
479,479,946,Car,2786025.34,8.82,2018-12-14,2032-12-14,Active,168,High,0
480,480,4717,Car,4602107.14,7.83,2021-06-16,2025-06-16,Active,48,High,0
481,481,544,Personal,1788809.70,6.12,2011-12-04,2022-12-04,Active,132,High,0
482,482,1759,Home,3050597.11,9.62,2022-07-11,2033-07-11,Default,132,High,0
483,483,133,Car,3199599.70,11.75,2022-06-15,2030-06-15,Default,96,High,0
484,484,1938,Home,1239182.49,12.05,2023-05-16,2032-05-16,Default,108,High,0
485,485,3155,Home,4811565.40,9.28,2023-08-07,2025-08-07,Closed,24,High,0
486,486,1790,Personal,4423702.42,10.91,2023-11-27,2038-11-27,Default,180,High,0
487,487,4049,Car,3967810.58,10.89,2024-12-03,2033-12-03,Default,108,High,0
488,488,1418,Personal,3481429.77,9.46,2020-07-11,2040-07-11,Active,240,High,0
489,489,3075,Education,1994802.03,5.25,2024-10-15,2040-10-15,Active,192,High,0
490,490,1961,Personal,4104716.02,8.87,2024-07-15,2039-07-15,Active,180,High,0
491,491,4797,Home,264916.68,9.52,2022-07-13,2028-07-13,Active,72,Medium,0
492,492,1328,Education,1267294.36,10.17,2024-02-02,2035-02-02,Active,132,High,0
493,493,396,Education,4801724.63,6.79,2010-09-01,2026-09-01,Default,192,High,0
494,494,1936,Education,4077319.57,9.38,2021-08-21,2038-08-21,Active,204,High,0
495,495,3757,Education,4164465.54,11.60,2018-08-27,2020-08-27,Default,24,High,0
496,496,3478,Car,3971984.28,6.07,2024-01-26,2034-01-26,Default,120,High,0
497,497,2336,Education,1222115.45,11.94,2019-02-21,2028-02-21,Active,108,High,0
498,498,3211,Personal,3715979.21,8.19,2019-02-22,2020-02-22,Default,12,High,0
499,499,252,Personal,486325.73,11.51,2022-08-24,2035-08-24,Closed,156,Medium,0
500,500,3734,Home,1817681.91,13.52,2007-06-27,2014-06-27,Closed,84,High,0
501,501,2763,Car,1877876.71,12.52,2016-01-18,2020-01-18,Closed,48,High,0
502,502,3502,Personal,2916747.46,11.18,2020-05-12,2031-05-12,Active,132,High,0
503,503,4663,Home,1969626.19,5.96,2017-11-07,2026-11-07,Active,108,High,0
504,504,2364,Car,2103746.44,10.76,2016-10-09,2029-10-09,Active,156,High,0
505,505,1289,Car,3251277.23,7.83,2019-05-31,2031-05-31,Closed,144,High,0
506,506,3327,Car,427483.31,7.35,2024-07-04,2035-07-04,Default,132,Medium,0
507,507,4388,Education,1424108.51,11.02,2012-01-24,2018-01-24,Closed,72,High,0
508,508,66,Home,4491517.10,5.75,2022-10-03,2033-10-03,Closed,132,High,0
509,509,619,Personal,3473854.40,12.69,2024-01-28,2030-01-28,Closed,72,High,0
510,510,4309,Home,1996964.18,9.00,2022-04-26,2042-04-26,Closed,240,High,0
511,511,3059,Personal,4962569.77,10.35,2021-07-24,2035-07-24,Active,168,High,0
512,512,1414,Personal,1478201.44,11.80,2023-12-21,2031-12-21,Default,96,High,0
513,513,2668,Education,1204822.80,6.47,2022-10-01,2027-10-01,Active,60,High,0
514,514,2821,Car,535551.36,8.19,2023-05-10,2030-05-10,Active,84,High,0
515,515,1421,Car,3638380.14,9.31,2013-08-30,2024-08-30,Closed,132,High,0
516,516,4419,Home,2384995.66,10.88,2019-02-19,2027-02-19,Closed,96,High,0
517,517,4115,Education,4442828.74,11.25,2022-08-26,2036-08-26,Closed,168,High,0
518,518,1578,Education,1388977.31,8.57,2014-06-13,2026-06-13,Default,144,High,0
519,519,349,Education,1923547.57,7.19,2022-11-24,2029-11-24,Default,84,High,0
520,520,3117,Personal,1018872.26,11.71,2016-05-14,2036-05-14,Default,240,High,0
521,521,1151,Home,4506703.94,5.77,2015-05-12,2033-05-12,Active,216,High,0
522,522,88,Education,4134264.04,10.03,2019-08-19,2021-08-19,Closed,24,High,0
523,523,1700,Home,3523963.01,11.32,2018-02-10,2023-02-10,Default,60,High,0
524,524,838,Education,4170269.47,7.23,2024-06-20,2026-06-20,Default,24,High,0
525,525,1625,Personal,649350.43,6.83,2023-04-27,2032-04-27,Default,108,High,0
526,526,1979,Personal,1047641.79,10.49,2021-04-26,2037-04-26,Closed,192,High,0
527,527,1607,Car,3724776.28,5.78,2020-02-28,2023-02-28,Active,36,High,0
528,528,348,Home,4742517.06,5.10,2024-02-19,2043-02-19,Active,228,High,0
529,529,777,Car,2999485.63,11.28,2022-08-24,2026-08-24,Closed,48,High,0
530,530,888,Car,1623924.12,10.97,2022-03-31,2033-03-31,Default,132,High,0
531,531,1695,Car,1790584.93,11.21,2024-10-21,2033-10-21,Closed,108,High,0
532,532,2699,Home,927745.71,6.96,2016-10-29,2018-10-29,Active,24,High,0
533,533,2185,Car,2366679.64,7.84,2023-12-25,2027-12-25,Active,48,High,0
534,534,2369,Home,1229648.89,13.79,2017-03-21,2027-03-21,Active,120,High,0
535,535,1849,Education,4944746.07,6.90,2021-11-07,2022-11-07,Active,12,High,0
536,536,2229,Home,3478126.79,11.59,2015-09-12,2033-09-12,Active,216,High,0
537,537,2126,Home,3608259.88,9.71,2018-07-11,2034-07-11,Active,192,High,0
538,538,1600,Education,829241.69,10.75,2017-03-12,2029-03-12,Default,144,High,0
539,539,1664,Personal,4876639.21,5.84,2012-09-07,2032-09-07,Closed,240,High,0
540,540,3718,Car,310213.03,12.70,2022-07-02,2029-07-02,Active,84,Medium,0
541,541,1427,Home,1413610.17,6.14,2017-05-18,2019-05-18,Active,24,High,0
542,542,3466,Education,2115096.66,10.82,2023-09-19,2042-09-19,Active,228,High,0
543,543,3146,Home,3496248.50,7.01,2008-08-02,2011-08-02,Default,36,High,0
544,544,1202,Car,4296062.11,11.70,2015-09-24,2033-09-24,Active,216,High,0
545,545,1623,Personal,2680008.72,5.49,2015-05-13,2026-05-13,Closed,132,High,0
546,546,2048,Personal,835702.52,11.83,2022-06-26,2037-06-26,Active,180,High,0
547,547,2418,Education,3495009.52,13.48,2020-06-05,2039-06-05,Closed,228,High,0
548,548,4662,Education,484985.07,10.04,2024-01-13,2025-01-13,Default,12,Medium,0
549,549,4392,Home,1708697.73,13.77,2023-07-30,2033-07-30,Active,120,High,0
550,550,3995,Personal,3924760.25,6.45,2022-09-04,2029-09-04,Active,84,High,0
551,551,3622,Car,4784189.67,7.39,2018-05-19,2034-05-19,Default,192,High,0
552,552,3996,Car,4073215.53,9.07,2024-02-22,2042-02-22,Closed,216,High,0
553,553,2108,Car,4269730.48,6.57,2019-06-11,2030-06-11,Active,132,High,0
554,554,4667,Car,894852.89,7.50,2017-11-06,2029-11-06,Active,144,High,0
555,555,2468,Home,1761410.32,8.70,2016-08-08,2035-08-08,Closed,228,High,0
556,556,4533,Personal,2443905.75,5.40,2024-03-17,2039-03-17,Default,180,High,0
557,557,469,Car,1389561.80,9.10,2015-04-13,2033-04-13,Default,216,High,0
558,558,4564,Education,4845068.26,9.25,2020-12-22,2036-12-22,Active,192,High,0
559,559,631,Car,601862.83,10.54,2023-10-13,2033-10-13,Closed,120,High,0
560,560,3790,Education,3507308.14,7.30,2020-01-23,2040-01-23,Default,240,High,0
561,561,738,Education,2216110.01,11.48,2018-08-19,2030-08-19,Active,144,High,0
562,562,2211,Home,3522214.41,12.66,2019-02-21,2023-02-21,Default,48,High,0
563,563,4507,Education,2478543.49,6.82,2021-03-02,2023-03-02,Default,24,High,0
564,564,1447,Education,2430635.85,5.29,2013-02-03,2020-02-03,Default,84,High,0
565,565,2885,Personal,1853487.89,9.40,2013-09-02,2022-09-02,Default,108,High,0
566,566,1866,Car,2520579.36,11.62,2019-07-30,2028-07-30,Closed,108,High,0
567,567,1955,Personal,4419165.56,7.04,2017-02-18,2027-02-18,Active,120,High,0
568,568,711,Car,3680962.94,8.05,2017-07-24,2026-07-24,Closed,108,High,0
569,569,4418,Car,2775422.17,9.38,2020-08-23,2032-08-23,Active,144,High,0
570,570,730,Home,4844894.43,10.37,2021-03-12,2028-03-12,Default,84,High,0
571,571,1573,Home,1437293.32,8.63,2024-05-20,2032-05-20,Default,96,High,0
572,572,3964,Education,1859507.68,10.68,2024-01-06,2031-01-06,Active,84,High,0
573,573,1540,Personal,596241.50,5.68,2022-10-20,2042-10-20,Default,240,High,0
574,574,4680,Car,719022.27,7.98,2024-05-07,2042-05-07,Active,216,High,0
575,575,494,Personal,495404.82,8.38,2020-10-16,2029-10-16,Default,108,Medium,0
576,576,117,Car,2726739.40,9.65,2024-02-07,2041-02-07,Default,204,High,0
577,577,2896,Home,3586298.06,6.93,2022-06-28,2034-06-28,Closed,144,High,0
578,578,1077,Car,1123374.51,6.17,2024-08-13,2040-08-13,Active,192,High,0
579,579,2183,Personal,4770379.62,13.14,2020-09-18,2040-09-18,Default,240,High,0
580,580,609,Car,144408.92,7.30,2012-08-13,2016-08-13,Closed,48,Medium,0
581,581,2450,Home,4663740.35,8.40,2023-04-18,2028-04-18,Closed,60,High,0
582,582,645,Car,3646500.57,6.96,2023-05-11,2026-05-11,Active,36,High,0
583,583,1945,Personal,3307308.89,6.55,2022-10-23,2039-10-23,Active,204,High,0
584,584,3710,Personal,4023169.57,13.38,2019-05-03,2021-05-03,Active,24,High,0
585,585,1125,Car,870523.25,11.03,2023-12-19,2024-12-19,Closed,12,High,0
586,586,4847,Car,143873.18,8.69,2017-07-28,2020-07-28,Closed,36,Medium,0
587,587,4388,Car,2488441.96,7.81,2022-10-07,2027-10-07,Closed,60,High,0
588,588,1674,Home,4999277.60,12.38,2017-12-18,2028-12-18,Active,132,High,0
589,589,1348,Personal,2302585.34,13.23,2023-03-04,2039-03-04,Closed,192,High,0
590,590,3059,Education,3623435.52,8.28,2016-11-06,2036-11-06,Default,240,High,0
591,591,2068,Personal,4195864.35,11.21,2023-12-09,2024-12-09,Default,12,High,0
592,592,2069,Car,4739759.74,6.89,2006-10-16,2009-10-16,Default,36,High,0
593,593,4487,Home,4975496.91,13.88,2021-09-27,2031-09-27,Active,120,High,0
594,594,1226,Education,4030523.16,6.34,2020-08-20,2033-08-20,Active,156,High,0
595,595,3897,Car,3392024.18,8.21,2019-08-13,2033-08-13,Default,168,High,0
596,596,4133,Personal,1364589.76,7.18,2021-12-31,2026-12-31,Closed,60,High,0
597,597,831,Home,583379.12,13.47,2018-03-27,2038-03-27,Active,240,High,0
598,598,3178,Personal,3427274.45,6.70,2024-09-14,2042-09-14,Active,216,High,0
599,599,4025,Personal,4938340.20,6.28,2021-10-07,2034-10-07,Active,156,High,0
600,600,4063,Car,2923129.52,6.30,2024-03-11,2030-03-11,Active,72,High,0
601,601,953,Education,4016286.66,10.87,2020-10-08,2025-10-08,Default,60,High,0
602,602,715,Education,1253369.19,11.42,2021-02-22,2035-02-22,Active,168,High,0
603,603,873,Education,1330023.79,8.46,2014-01-19,2017-01-19,Closed,36,High,0
604,604,4108,Personal,2096277.63,5.31,2023-10-25,2037-10-25,Closed,168,High,0
605,605,820,Home,3174678.29,5.11,2008-05-13,2019-05-13,Closed,132,High,0
606,606,1400,Home,479534.50,6.34,2022-11-21,2026-11-21,Default,48,Medium,0
607,607,1608,Education,4122650.95,13.90,2022-09-16,2027-09-16,Closed,60,High,0
608,608,1973,Personal,2296346.68,9.26,2024-05-02,2031-05-02,Default,84,High,0
609,609,2883,Personal,3419656.41,10.18,2024-12-29,2036-12-29,Closed,144,High,0
610,610,3071,Personal,4120650.42,6.40,2015-11-14,2018-11-14,Closed,36,High,0
611,611,4004,Personal,740682.52,8.62,2024-04-25,2039-04-25,Default,180,High,0
612,612,4311,Personal,476691.00,9.48,2023-01-16,2042-01-16,Default,228,Medium,0
613,613,1545,Education,1617824.95,8.62,2019-04-08,2020-04-08,Closed,12,High,0
614,614,4718,Car,4130615.51,13.87,2019-07-28,2029-07-28,Default,120,High,0
615,615,1346,Car,2926952.49,11.43,2018-01-07,2030-01-07,Default,144,High,0
616,616,625,Car,4459228.82,10.31,2024-08-31,2036-08-31,Closed,144,High,0
617,617,3039,Car,4030798.75,9.13,2022-05-07,2038-05-07,Default,192,High,0
618,618,4743,Education,1249039.43,13.56,2024-10-20,2034-10-20,Active,120,High,0
619,619,4590,Personal,592042.07,8.55,2022-11-22,2029-11-22,Closed,84,High,0
620,620,1486,Car,4166254.87,9.76,2024-02-07,2030-02-07,Default,72,High,0
621,621,2468,Personal,744587.18,7.04,2016-10-19,2034-10-19,Active,216,High,0
622,622,1219,Education,4280675.21,5.89,2024-05-07,2038-05-07,Closed,168,High,0
623,623,4500,Home,2519900.77,7.32,2021-10-26,2028-10-26,Active,84,High,0
624,624,2409,Home,1973672.12,12.95,2008-04-10,2009-04-10,Active,12,High,0
625,625,2609,Car,2364401.92,10.09,2023-09-23,2037-09-23,Closed,168,High,0
626,626,304,Home,3517165.58,11.23,2019-05-02,2027-05-02,Closed,96,High,0
627,627,3876,Personal,4171146.24,13.52,2014-12-02,2024-12-02,Closed,120,High,0
628,628,1833,Education,3882542.79,9.00,2023-01-24,2043-01-24,Default,240,High,0
629,629,2444,Home,4966841.22,8.04,2022-04-20,2026-04-20,Active,48,High,0
630,630,2058,Car,989435.26,6.85,2022-11-16,2042-11-16,Default,240,High,0
631,631,1045,Home,4688627.34,6.50,2010-04-08,2030-04-08,Default,240,High,0
632,632,1764,Car,910094.68,6.83,2011-01-25,2012-01-25,Default,12,High,0
633,633,3193,Home,4798714.92,9.15,2021-10-10,2032-10-10,Default,132,High,0
634,634,3839,Car,593555.98,8.60,2017-06-20,2032-06-20,Default,180,High,0
635,635,3746,Education,2498005.22,5.03,2023-08-09,2039-08-09,Active,192,High,0
636,636,3493,Personal,3860839.39,13.62,2012-11-01,2016-11-01,Default,48,High,0
637,637,2650,Car,4005476.13,11.99,2023-09-18,2033-09-18,Closed,120,High,0
638,638,4468,Car,2568217.64,11.08,2019-02-04,2036-02-04,Default,204,High,0
639,639,664,Education,1619253.25,11.07,2018-04-26,2035-04-26,Active,204,High,0
640,640,3475,Home,3182364.18,10.35,2024-10-11,2026-10-11,Closed,24,High,0
641,641,4761,Education,1147623.18,11.36,2024-10-08,2044-10-08,Active,240,High,0
